308.15,C1,C2
308.15,296.15,296.15
308.15,296.2866053919472,296.2123110648162
308.15,296.14915619087077,296.08542525675847
308.15,296.19393891274586,296.23771741603736
308.15,296.32398416364714,296.31121067853127
308.15,296.2867407726565,296.3139716618512
308.15,296.4183000332353,296.28071934122636
308.15,296.5121766637204,296.4849508131114
308.15,296.8001038150466,296.61186472439715
308.15,296.83726050090917,296.7091010992365
308.15,297.13385414615595,296.9329609030701
308.15,297.0989614073425,296.82004919909554
308.15,297.3358626616621,297.1360681888733
308.15,297.63701948977973,297.34689727967617
308.15,297.74876266305523,297.19334463769343
308.15,297.87155173869377,297.6293162787496
308.15,298.2942142825284,297.60890681858393
308.15,298.41776791384217,298.0235564119301
308.15,298.79792905116335,298.10838598798125
308.15,298.9358147035011,298.234425777381
308.15,299.16812973398976,298.5566582837202
308.15,299.6289545635691,298.64478509849135
308.15,299.5673667285824,298.9412469212718
308.15,299.98995175477285,298.9683553574155
308.15,300.2494738784215,299.2269990445327
308.15,300.42775197418865,299.61464123908473
308.15,300.7899766808624,299.9520057284927
308.15,301.15806168838776,300.2569557565025
308.15,301.3172212989746,300.235370563988
308.15,301.817369806257,300.4192002669876
308.15,302.232146159692,300.8334386322809
308.15,302.5387812345675,300.98276170993023
308.15,302.9316244545241,301.21610413419177
308.15,303.0799764759775,301.5618213860601
308.15,303.37629926779755,301.7805258197025
308.15,303.7245425873533,302.17433911070805
308.15,303.96222544332903,302.3382028373447
308.15,304.2223372842122,302.5117962691665
308.15,304.35120108737266,302.76237747210126
308.15,304.81593405923604,302.9700879443784
308.15,305.0270637804672,303.23224262910367
308.15,305.3346382944481,303.59780820329445
308.15,305.5937169478732,303.73286624652576
308.15,305.88746074935005,304.0647096439246
308.15,305.9718141398597,304.2277087137571
308.15,306.2234751992428,304.4611839515058
308.15,306.5997816859235,304.5057467934603
308.15,306.747888443439,304.84658986846557
308.15,307.1687547131324,305.0529983029156
308.15,307.32878172722377,305.3668899918853
308.15,307.4848035545492,305.6210197856769
308.15,307.4384528659093,305.6638144062586
308.15,307.90571609253635,306.1656815953811
308.15,308.1710448975792,306.196626550794
308.15,308.29416950256933,306.38216402199555
308.15,308.40890789946206,306.6857275224151
308.15,308.5824511412367,306.87616265731657
308.15,308.8449084927566,306.85699915987374
308.15,309.0399061090452,307.12334378153264
308.15,309.2045880364149,307.28486747553916
308.15,309.17916409611774,307.3841821752634
308.15,309.3562242836125,307.82212008428
308.15,309.5703048280027,307.91172227305253
308.15,309.7002491690563,307.88898583390346
308.15,309.6016721423659,308.2327227070965
308.15,309.8125528603612,308.46252539956805
308.15,310.01356654405066,308.46866857087537
308.15,310.0816674596939,308.65551383834287
308.15,310.0711473570249,308.7790429411059
308.15,310.3063073656055,308.8817650087233
308.15,310.4698363732496,308.6925590507065
308.15,310.5307551342689,308.97405451137286
308.15,310.39688834273176,309.0052924293269
308.15,310.71497358665295,309.2925646024634
308.15,310.2982862958119,309.33930980208817
308.15,310.4666859915266,309.26853356718766
308.15,310.690414428225,309.32534055992204
308.15,310.4878424104214,309.3948271371135
308.15,310.66420487301747,309.8107850819922
