Variable,Value
fals_max_H1_0,62.19698041040721
fals_max_H2_0,62.600325876323495
fals_max_H1_1,62.19698041040721
fals_max_H2_1,62.600325876323495
fals_max_H1_2,62.19698041040721
fals_max_H2_2,62.600325876323495
fals_max_H1_3,62.19698041040721
fals_max_H2_3,62.600325876323495
fals_max_H1_4,62.19698041040721
fals_max_H2_4,62.600325876323495
fals_max_H1_5,62.19698041040721
fals_max_H2_5,62.600325876323495
fals_max_H1_6,62.19698041040721
fals_max_H2_6,62.600325876323495
fals_max_H1_7,62.19698041040721
fals_max_H2_7,62.600325876323495
fals_max_H1_8,62.19698041040721
fals_max_H2_8,62.600325876323495
fals_max_H1_9,62.19698041040721
fals_max_H2_9,62.57832444603315
